sample,div_to_ref_4D,covered_4D,clade
700096700,0.006349985314729512,268977,vulgatus
700096865,0.0057977403857929115,285801,vulgatus
700097688,0.007053038549603994,266410,vulgatus
700098669,0.006924216577116045,258513,vulgatus
700098867,0.0050694164410392305,277744,vulgatus
700099002,0.005498972104097493,276779,vulgatus
700099512,0.058263078306763263,202358,dorei
700099746,0.005138392071776227,272848,vulgatus
700100022,0.05850022443151973,209418,dorei
700100227,0.00600669720751691,269366,vulgatus
700100312,0.004679048261672732,271209,vulgatus
700100432,0.006521714257382695,262201,vulgatus
700100540,0.004642875625642277,270522,vulgatus
700100600,0.05759223244467508,206191,dorei
700101243,0.005697581107417173,261690,vulgatus
700101581,0.057514477300843844,207739,dorei
700101840,0.05690918465329909,211407,dorei
700102043,0.05296022973920593,209629,dorei
700102299,0.007572733919419612,283121,vulgatus
700102356,0.007167881592178671,279441,vulgatus
700102432,0.05734185623381499,207754,dorei
700102586,0.005900388412071543,276253,vulgatus
700102659,0.007133364262019457,286681,vulgatus
700102905,0.05772212858174813,207650,dorei
700103479,0.005527401643142418,271918,vulgatus
700103652,0.057775552163634,207683,dorei
700103710,0.004934192207020735,269345,vulgatus
700105000,0.006221480117567676,262317,vulgatus
700105153,0.006243161003102843,266852,vulgatus
700105237,0.004663641802581168,269103,vulgatus
700105312,0.004953738121701495,271714,vulgatus
700105517,0.005808078159038538,285981,vulgatus
700105940,0.05901812455903448,214019,dorei
700106198,0.004924444310990669,266426,vulgatus
700106325,0.05800119262878467,207944,dorei
700106333,0.005388534985182445,272987,vulgatus
700106465,0.05760269639916751,207091,dorei
700106754,0.005538024503047138,285842,vulgatus
700106836,0.004768681683046592,268418,vulgatus
700106876,0.0065979867583919926,262959,vulgatus
700107398,0.005364626990779548,274390,vulgatus
700107566,0.005484756185167093,278408,vulgatus
700107930,0.057940359773029096,207075,dorei
700108095,0.005424522226188592,271729,vulgatus
700108161,0.0063999581555567175,267658,vulgatus
700108218,0.004993165882008675,269969,vulgatus
700108840,0.06464402370711952,270636,dorei
700109383,0.006961253181479793,256563,vulgatus
700109449,0.006441337317471952,283792,vulgatus
700109506,0.005392998906873623,275357,vulgatus
700110089,0.005363072352324362,274656,vulgatus
700110155,0.0589473892326855,202316,dorei
700110354,0.004972625080086202,274704,vulgatus
700110419,0.007590761402000239,283766,vulgatus
700111223,0.0068482342916653515,285183,vulgatus
700111296,0.006889808941927241,283317,vulgatus
700111439,0.004855728138170886,271432,vulgatus
700111505,0.00674973257197957,265492,vulgatus
700111745,0.006294038914637788,271209,vulgatus
700112046,0.006381816685495395,267322,vulgatus
700112376,0.005041546761266201,271742,vulgatus
700112433,0.05779271004544136,206860,dorei
700112755,0.06457513441605232,270615,dorei
700112812,0.005959216959639678,267317,vulgatus
700113114,0.005761107548046089,271302,vulgatus
700113616,0.005455281687500469,266714,vulgatus
700113705,0.00474941596509014,272244,vulgatus
700113810,0.005076590297090893,271836,vulgatus
700113867,0.006607985619626009,274819,vulgatus
700114125,0.05791293528739457,207363,dorei
700114480,0.005967743075933167,282854,vulgatus
700116148,0.005000498572605097,270773,vulgatus
700116296,0.05835667161626224,212812,dorei
700116468,0.006208645364269595,286697,vulgatus
700116611,0.004750794865756006,271744,vulgatus
700116828,0.005241960559093686,273371,vulgatus
700116865,0.004943102826836929,271894,vulgatus
700117000,0.007655631874490366,280839,vulgatus
700117184,0.006265123031679262,268630,vulgatus
700117239,0.005420093953184764,272689,vulgatus
700117395,0.005306699753656269,276443,vulgatus
700117537,0.0053002127320878134,276404,vulgatus
700117625,0.05898872420395716,211515,dorei
700117682,0.0050460077174235675,269520,vulgatus
700117755,0.005744995599498155,267015,vulgatus
700117766,0.05761838905050312,209690,dorei
700117828,0.058282840378397795,208775,dorei
700117992,0.004947417305848514,267008,vulgatus
700119042,0.005313073591177962,274041,vulgatus
700119496,0.005892493680146606,276114,vulgatus
700119562,0.005707728643365369,269284,vulgatus
700119739,0.0583209297000229,209616,dorei
700120572,0.006942581637983369,283324,vulgatus
700122042,0.006183978955123363,268759,vulgatus
700122108,0.007616224000788735,283999,vulgatus
700122408,0.005660575509346776,285660,vulgatus
700122765,0.005217246581835154,276391,vulgatus
700123562,0.005452117386073924,271821,vulgatus
700123827,0.0048812438023937855,273291,vulgatus
700124561,0.005726868991406002,270654,vulgatus
700161219,0.05714806097287604,214128,dorei
700161342,0.005973506530264153,268519,vulgatus
700161429,0.006291330546506914,286108,vulgatus
700161629,0.005226525346093063,273987,vulgatus
